"","Respond.ID","sr","trMiddle","trlast8","trfirst8","condition","difference","disMiddle","percentage","Duration..in.seconds.","condition.1","concern","frequency","sources","list","subjective","encounter","exhaustion","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","partisanship.","X.Partisanship2","age","gender","gender2","Warwick_ResponseID","tr80"
"22","R_1OjlzonZUpg2Gkp",2.36363636363636,0.2825,0.4575,0.435,"more fake ",0.0225,0.75,73.75,2031,"more fake ",5,5,2,"social media, news apps",42,70,2,2,2,3,2,1,2,3,4,1,2,4,"Democrat","",18,"Non-binary / third gender",NA,"4466a16ccac0b9bf9f04",0.31525
"23","R_1OVprSWLFNwUr9k",3,0.766875,0.69,0.7025,"all true",-0.0125000000000001,0.7890625,77.5,2886,"all true",5,2,2,"bbc news - usually online, news that comes up on social media (not very reliable though)",31,50,2,3,3,4,3,2,2,3,4,3,3,3,"Democrat","",18,"Female",NA,"f2f476c9a77ddabcae93",0.75275
"24","R_1q8ur4jSK0KuTlI",2.90909090909091,0.5425,0.36,0.59,"more fake ",-0.23,0.625,62.5,1034,"more fake ",4,3,2,"BBC News, ITV news",29,24,4,4,4,4,2,2,2,2,3,2,3,4,"Democrat","",18,"Female",NA,"224fe94908a8d824c0fb",0.529
"25","R_1QKPUpPOqgmUZKs",1.18181818181818,0.4659455128125,0.6875,0.1875,"all true",0.5,0.8359375,81.875,3543,"all true",3,2,3,"BBC News, The Guardian, Live Universal Awareness Map, Twitter",2,5,2,1,1,1,1,1,1,1,2,1,2,1,"Other","Labour (UK)",18,"Male",NA,"ec4058ace36447837b2b",0.46025641025
"26","R_21gOFRzLKTFChJK",2.90909090909091,0.4444345238125,0.48,0.3975,"more fake ",0.0825,0.71875,69.375,1063,"more fake ",3,2,2,"sky, BBC News ",20,72,4,4,2,4,2,1,1,2,5,2,5,4,"Democrat","",19,"Female",NA,"209ec14f2e19bca17fa2",0.44329761905
"27","R_22Jj8oj8fUvYsI9",3.36363636363636,0.6034375,0.5725,0.412658227875,"all true",0.159841772125,0.6796875,68.125,1295,"all true",3,1,1,"twitter",60,40,5,4,4,5,1,1,2,1,5,4,5,5,"Democrat","",18,"Female",NA,"8a9eec3aba16cdb27f5d",0.5812658227875
"28","R_24l4pFMUYdggx3t",2.81818181818182,0.7265625,0.74,0.515,"all true",0.225,0.71875,71.25,699,"all true",3,2,1,"BBC",19,38,4,2,2,4,2,2,2,3,4,2,4,4,"Independent","",19,"Female",NA,"e4936306d10df627e336",0.70675
"29","R_24MHjzPEpkfjLJT",3.54545454545455,0.455922619046875,0.3125,0.69,"more fake ",-0.3775,0.4375,53.125,747,"more fake ",3,1,1,"CNN, BBC, NEW YORK TIMES, ",61,40,4,4,2,5,1,1,3,3,5,5,5,5,"Independent","",19,"Female",NA,"b3f5a47977227dbfe8f4",0.4649880952375
"30","R_25T9xSHMXVTueBv",2.36363636363636,0.5458887986875,0.5375,0.47980519475,"all true",0.05769480525,0.46875,45,1620,"all true",2,2,3,"BBC news, sky news, itv news",40,63,3,4,2,4,1,1,2,3,2,2,3,2,"Democrat","",19,"Female",NA,"1724ebf8ed8391a03f32",0.538441558425
"31","R_27qDpdUkJtzz3L5",2,0.2506944444375,0.4125,0.5625,"more fake ",-0.15,0.8046875,77.5,1311,"more fake ",2,1,1,"BBC News",15,80,3,2,1,3,1,1,2,1,2,3,2,4,"Democrat","",18,"Male",NA,"898eb1169d7affe7dacd",0.29805555555
