Duration (in seconds),Response ID,condition,concern,frequency,sources,list,subjective ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,encounter,exhaustion ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,"partisanship
","
Partisanship2",age,gender,gender2,Warwick_ResponseID,,true50-1.1 - Display Order,fake100-1.2 - Display Order,true50-1.3 - Display Order,true100-2 - Display Order,true16-3.1 - Display Order,fake100-3.2 - Display Order,true68-3.3 - Display Order,true16-3.4 - Display Order
2031,R_1OjlzonZUpg2Gkp,More Fake,5,5,2,"social media, news apps",42,0,59,13,72,89,61,75,17,0,50,0,0,0,65,11,57,19,0,0,0,63,68,0,0,31,25,8,0,74,51,0,0,68,100,88,0,9,0,0,0,3,0,21,0,23,19,72,50,17,23,0,0,25,36,11,0,13,27,0,0,0,0,4,0,0,51,55,0,87,81,15,56,5,80,30,67,75,81,90,59,70,2,2,2,3,2,1,2,3,4,1,2,4,Democrat,,18,Non-binary / third gender,,4466a16ccac0b9bf9f04,,Q33|Q21|Q32|Q47|Q28|Q44|Q20|Q37,Q121|Q209|Q162|Q139|Q192|Q118|Q188|Q163|Q159|Q129|Q148|Q199|Q125|Q171|Q140|Q179|Q177|Q130|Q170|Q143|Q195|Q120|Q184|Q161|Q208|Q142|Q167|Q147|Q178|Q138|Q114|Q128|Q134|Q204|Q194|Q157|Q207|Q205|Q196|Q153|Q164|Q191|Q186|Q211|Q131|Q158|Q160|Q213|Q133|Q197|Q127|Q210|Q181|Q141|Q144|Q201|Q176|Q146|Q152|Q137|Q190|Q198|Q155|Q135,Q295|Q266|Q271|Q305|Q310|Q300|Q290|Q283,,,,,
1620,R_D0ufEMeV8LA3IRz,All True,2,2,1,online news app,22,75,89,76,35,64,71,46,94,17,75,40,30,29,75,73,70,53,51,55,85,25,77,32,55,74,80,99,42,13,73,37,34,75,92,28,81,75,56,25,18,64,89,35,48,66,67,69,35,58,65,61,66,61,47,18,41,42,3,55,30,13,19,66,93,85,70,75,72,95,68,92,86,37,11,39,85,96,46,46,49,44,5,3,3,3,1,2,2,3,4,3,4,5,Other,no political position,18,Female,,4d81cb184bd1e5d12686,,,,,Q401|Q334|Q386|Q337|Q396|Q381|Q409|Q323|Q351|Q388|Q348|Q357|Q350|Q382|Q331|Q315|Q332|Q314|Q389|Q393|Q375|Q363|Q346|Q383|Q365|Q349|Q366|Q376|Q407|Q333|Q373|Q358|Q329|Q367|Q394|Q399|Q319|Q413|Q362|Q412|Q400|Q379|Q408|Q371|Q364|Q387|Q336|Q368|Q402|Q380|Q322|Q326|Q398|Q325|Q406|Q320|Q403|Q369|Q360|Q343|Q328|Q340|Q356|Q377|Q341|Q353|Q354|Q317|Q378|Q374|Q344|Q411|Q318|Q324|Q404|Q330|Q384|Q405|Q339|Q397,,,,
2391,R_5zJxh5Oga0bBKrD,More Fake,4,2,1,BBC,90,62,66,59,88,37,20,58,65,35,3,26,1,44,36,42,46,20,5,24,53,0,94,71,1,36,29,25,52,86,78,4,7,48,51,47,32,40,4,4,4,32,5,4,0,4,1,17,40,29,5,47,46,34,51,47,10,57,41,34,45,45,26,22,35,19,100,19,56,3,7,83,24,30,30,37,32,65,98,80,57,93,5,4,4,4,1,2,2,4,4,4,3,5,Other,,18,Female,,ec1142e05ba15a2b2ace,,Q15|Q45|Q62|Q49|Q38|Q30|Q33|Q17,Q188|Q204|Q197|Q174|Q140|Q186|Q195|Q124|Q131|Q145|Q206|Q136|Q134|Q169|Q175|Q192|Q133|Q166|Q152|Q176|Q116|Q163|Q157|Q173|Q167|Q114|Q201|Q181|Q135|Q139|Q158|Q128|Q183|Q122|Q207|Q130|Q119|Q210|Q168|Q118|Q155|Q143|Q159|Q146|Q172|Q208|Q127|Q162|Q147|Q203|Q149|Q178|Q189|Q193|Q144|Q150|Q154|Q179|Q165|Q202|Q164|Q190|Q123|Q213,Q285|Q304|Q267|Q305|Q279|Q283|Q301|Q277,,,,,
42896,R_Xo0KrXP3GIBJL1f,All True,4,2,4,daily mail,57,41,91,19,88,46,79,85,69,85,100,73,51,38,58,89,86,60,25,78,84,63,68,100,40,62,95,65,91,79,67,51,59,41,91,73,71,52,94,90,89,60,56,69,46,43,30,69,68,55,100,71,10,51,38,84,66,87,0,65,48,79,78,95,55,100,51,90,14,52,86,94,51,95,92,74,54,82,61,88,67,41,3,5,5,5,3,2,2,5,4,3,2,4,Republican,,18,Female,,24d8224f16a333934e8f,,,,,Q343|Q373|Q316|Q398|Q361|Q410|Q394|Q409|Q338|Q403|Q320|Q315|Q334|Q397|Q359|Q376|Q375|Q372|Q371|Q374|Q342|Q321|Q400|Q346|Q323|Q360|Q366|Q386|Q399|Q395|Q336|Q332|Q396|Q340|Q326|Q349|Q327|Q358|Q402|Q350|Q352|Q365|Q317|Q379|Q355|Q363|Q369|Q322|Q406|Q393|Q404|Q362|Q382|Q329|Q411|Q354|Q407|Q388|Q380|Q391|Q339|Q351|Q368|Q335|Q381|Q314|Q344|Q389|Q370|Q353|Q324|Q331|Q384|Q390|Q330|Q387|Q357|Q319|Q347|Q356,,,,
1769,R_3iwAHJVoVjId1wT,All True,4,1,6,"I usually scroll through a news app, with multiple papers and sources ",71,80,91,67,72,79,28,86,78,76,63,86,29,76,67,45,81,65,72,30,86,74,61,18,68,70,78,69,85,40,26,76,87,78,82,73,90,84,25,34,70,32,37,50,74,61,88,35,20,77,84,34,73,15,86,53,18,69,26,73,73,65,17,72,69,69,66,24,50,91,69,69,57,79,75,75,85,64,87,81,65,66,4,4,4,4,1,3,1,1,4,3,5,4,Other,Unsure ,20,Female,,9c3d55a47837b2966dee,,,,,Q325|Q365|Q340|Q381|Q329|Q317|Q376|Q382|Q322|Q401|Q397|Q335|Q333|Q366|Q390|Q413|Q411|Q370|Q341|Q354|Q375|Q353|Q334|Q336|Q398|Q338|Q407|Q372|Q320|Q351|Q405|Q360|Q368|Q395|Q352|Q363|Q385|Q367|Q331|Q321|Q389|Q332|Q357|Q392|Q410|Q347|Q406|Q315|Q323|Q343|Q393|Q345|Q378|Q387|Q355|Q346|Q344|Q384|Q402|Q349|Q359|Q409|Q383|Q380|Q339|Q377|Q412|Q371|Q388|Q394|Q408|Q326|Q350|Q403|Q386|Q369|Q319|Q361|Q374|Q318,,,,
864,R_ODpcy6YAdPzqsfv,All True,3,3,0,I don't read the news ,8,11,31,40,41,81,61,64,0,40,35,44,55,25,22,30,57,58,61,69,77,65,61,59,57,19,26,39,74,0,60,66,61,41,69,26,41,39,56,74,36,33,74,25,63,31,28,29,72,39,59,61,47,22,40,40,35,43,46,35,57,58,58,62,37,62,36,57,38,40,66,35,62,42,17,61,78,51,55,32,33,50,5,5,5,5,1,5,1,1,5,5,5,5,Democrat,,18,Female,,d38f323bb9e963c3eacd,,,,,Q397|Q346|Q334|Q378|Q356|Q337|Q321|Q353|Q360|Q351|Q333|Q410|Q411|Q371|Q347|Q368|Q319|Q393|Q323|Q314|Q327|Q345|Q380|Q349|Q402|Q388|Q376|Q361|Q365|Q350|Q369|Q366|Q367|Q406|Q318|Q354|Q392|Q339|Q375|Q332|Q391|Q400|Q362|Q352|Q359|Q387|Q408|Q357|Q384|Q374|Q413|Q329|Q348|Q385|Q389|Q409|Q358|Q373|Q326|Q404|Q330|Q401|Q412|Q341|Q379|Q315|Q317|Q342|Q395|Q396|Q335|Q377|Q331|Q316|Q325|Q355|Q381|Q324|Q386|Q394,,,,
1006,R_2CK51SA8hHxp9Mu,More Fake,2,1,1,BBC News,30,25,72,76,26,25,80,34,22,0,35,24,28,0,0,32,27,25,38,24,26,33,34,26,24,78,22,79,7,27,72,14,21,27,10,99,70,73,100,0,37,78,32,6,6,21,33,35,71,30,24,22,40,19,25,0,30,31,25,69,27,24,28,14,40,37,31,21,0,39,20,72,71,24,76,18,75,88,6,73,36,70,3,5,5,5,1,1,1,1,3,1,4,3,Democrat,,20,Female,,1b8687b171f8ad4c2672,,Q16|Q41|Q38|Q31|Q48|Q33|Q45|Q18,Q166|Q122|Q171|Q121|Q132|Q202|Q137|Q161|Q151|Q118|Q128|Q157|Q213|Q201|Q114|Q181|Q180|Q162|Q211|Q117|Q184|Q178|Q170|Q174|Q183|Q204|Q149|Q188|Q165|Q144|Q116|Q123|Q148|Q159|Q199|Q179|Q176|Q126|Q158|Q129|Q153|Q169|Q212|Q120|Q208|Q145|Q125|Q130|Q193|Q155|Q175|Q192|Q142|Q131|Q140|Q127|Q207|Q194|Q143|Q191|Q156|Q190|Q139|Q195,Q275|Q297|Q278|Q309|Q273|Q302|Q307|Q306,,,,,
3222,R_129EwmV151VOeqE,More Fake,3,1,1,bbc,60,71,32,82,60,61,57,64,59,19,14,23,23,28,7,10,0,28,73,19,4,0,1,0,10,35,28,8,12,58,59,5,25,30,65,25,3,10,40,1,0,4,0,6,7,37,0,19,0,0,10,4,7,55,15,8,30,60,3,2,2,4,21,0,21,2,1,17,0,18,26,3,60,7,55,42,15,61,15,55,68,64,4,2,2,4,1,1,1,4,2,2,2,2,Democrat,,19,Female,,e7ae7c588f6fbcb41b6d,,Q35|Q17|Q18|Q61|Q32|Q54|Q36|Q48,Q152|Q128|Q211|Q165|Q151|Q134|Q161|Q181|Q126|Q179|Q202|Q177|Q129|Q192|Q147|Q160|Q208|Q180|Q200|Q122|Q132|Q171|Q124|Q203|Q137|Q190|Q130|Q145|Q114|Q120|Q150|Q185|Q133|Q188|Q187|Q121|Q146|Q140|Q207|Q195|Q115|Q205|Q197|Q131|Q158|Q198|Q167|Q175|Q148|Q182|Q143|Q206|Q213|Q123|Q184|Q157|Q189|Q172|Q204|Q201|Q196|Q135|Q155|Q173,Q274|Q284|Q293|Q296|Q305|Q278|Q282|Q302,,,,,
3628,R_1jVdZxgR6U6r78i,All True,5,3,3,Chinese News Serviceï¼_BCï¼_eople's daily online,30,60,60,42,90,56,64,35,74,77,60,66,56,81,51,61,58,59,60,73,39,43,69,46,28,73,59,27,67,59,51,61,45,68,68,77,40,67,36,59,68,56,41,64,37,64,78,58,61,57,72,74,61,67,45,66,56,60,58,54,68,47,61,60,10,62,70,61,60,40,63,59,45,66,61,45,66,51,58,58,58,41,5,5,5,4,2,5,2,2,3,4,4,4,Republican,,19,Female,,de1cad2687a0159d8210,,,,,Q383|Q322|Q400|Q317|Q363|Q321|Q389|Q342|Q398|Q314|Q315|Q377|Q369|Q361|Q372|Q411|Q371|Q376|Q392|Q395|Q396|Q349|Q404|Q391|Q324|Q320|Q341|Q318|Q348|Q331|Q413|Q338|Q402|Q358|Q381|Q340|Q346|Q380|Q370|Q333|Q351|Q387|Q406|Q328|Q367|Q379|Q368|Q362|Q345|Q365|Q403|Q334|Q350|Q357|Q390|Q394|Q388|Q393|Q359|Q410|Q327|Q382|Q352|Q407|Q385|Q326|Q378|Q339|Q397|Q337|Q409|Q405|Q316|Q330|Q412|Q366|Q373|Q399|Q323|Q325,,,,
1213,R_1i5psvwCQACYLGh,More Fake,3,2,2,"BBC, CNN",30,20,80,51,18,87,71,51,4,52,18,0,68,28,44,61,30,52,32,5,5,46,28,27,1,61,25,26,71,15,83,7,14,27,32,24,32,39,39,3,80,32,52,11,35,16,69,32,65,48,38,29,17,16,12,20,57,23,12,0,45,0,0,6,20,36,52,21,28,28,25,45,72,26,40,22,70,66,76,85,35,50,2,4,4,4,2,2,3,3,3,3,4,4,Other,-,20,Female,,60fd50170d223c13b0e8,,Q59|Q26|Q46|Q37|Q31|Q48|Q40|Q34,Q188|Q191|Q200|Q197|Q124|Q130|Q193|Q118|Q203|Q116|Q195|Q146|Q133|Q156|Q161|Q166|Q206|Q119|Q117|Q192|Q179|Q139|Q159|Q178|Q176|Q131|Q132|Q173|Q142|Q157|Q164|Q208|Q135|Q150|Q213|Q127|Q202|Q186|Q148|Q209|Q122|Q180|Q175|Q181|Q140|Q184|Q137|Q160|Q138|Q154|Q145|Q162|Q134|Q155|Q169|Q190|Q170|Q144|Q210|Q187|Q129|Q151|Q143|Q152,Q312|Q299|Q298|Q287|Q304|Q277|Q272|Q278,,,,,
675,R_3nryCQlNIQyDhtO,More Fake,4,1,2,"""Twitter"", ""TV""",50,69,45,32,0,0,68,62,25,0,0,0,74,0,0,0,69,73,0,0,0,0,93,0,0,0,74,0,0,0,71,31,13,66,0,68,0,0,0,0,0,82,21,0,0,100,0,1,67,68,70,0,0,0,72,0,0,0,1,0,75,0,0,0,0,0,100,0,75,0,73,49,67,63,3,69,100,24,77,100,2,72,5,4,4,5,1,1,1,5,1,1,1,1,Democrat,,20,Female,,a77f755a2f5d1e5e8060,,Q56|Q19|Q55|Q20|Q31|Q51|Q33|Q47,Q161|Q200|Q202|Q155|Q119|Q189|Q146|Q190|Q132|Q136|Q123|Q186|Q149|Q165|Q210|Q197|Q169|Q188|Q125|Q143|Q185|Q117|Q173|Q116|Q121|Q134|Q191|Q148|Q163|Q174|Q144|Q178|Q194|Q128|Q157|Q142|Q206|Q127|Q164|Q129|Q130|Q183|Q175|Q162|Q212|Q133|Q172|Q193|Q208|Q176|Q196|Q177|Q154|Q156|Q147|Q211|Q166|Q160|Q168|Q184|Q171|Q158|Q209|Q203,Q280|Q312|Q268|Q290|Q305|Q266|Q295|Q271,,,,,
771,R_3nk1YI3O3flgmJA,All True,2,1,1,Apple news,20,44,61,59,35,73,35,60,62,29,31,63,63,66,70,76,31,60,58,36,39,40,37,66,34,36,74,31,28,28,24,28,26,61,61,68,76,59,68,58,28,40,41,40,40,37,50,44,38,38,62,13,28,29,62,58,33,24,41,37,32,39,38,22,66,36,66,59,36,29,84,67,74,34,32,30,67,41,67,57,32,41,4,4,3,3,1,1,2,2,4,3,4,3,Democrat,,18,Female,,0ffbb5b9c242b560e8f3,,,,,Q328|Q338|Q401|Q411|Q318|Q357|Q362|Q341|Q378|Q317|Q375|Q410|Q367|Q334|Q322|Q331|Q348|Q346|Q323|Q356|Q347|Q399|Q379|Q333|Q391|Q403|Q388|Q406|Q339|Q382|Q387|Q377|Q373|Q374|Q330|Q370|Q354|Q315|Q343|Q384|Q336|Q355|Q360|Q368|Q394|Q404|Q395|Q393|Q352|Q349|Q353|Q409|Q332|Q340|Q320|Q327|Q359|Q335|Q383|Q324|Q326|Q325|Q351|Q386|Q397|Q396|Q371|Q364|Q408|Q390|Q314|Q319|Q413|Q398|Q366|Q380|Q412|Q407|Q363|Q376,,,,
1001,R_2alPIaU51nHx39L,More Fake,4,2,2,"Twitter, BBC News",24,62,71,47,44,92,66,88,65,37,45,1,67,0,34,0,46,32,54,24,0,40,0,83,49,0,30,38,66,21,21,81,23,0,42,12,57,29,12,50,3,50,33,0,32,29,0,10,62,15,56,62,63,0,30,62,74,62,46,2,24,15,9,0,5,50,44,45,66,5,10,0,1,49,69,42,54,50,52,82,62,79,4,5,4,4,1,1,1,3,4,3,3,2,Independent,,18,Female,,8be91affd403eeebce07,,Q33|Q58|Q37|Q32|Q54|Q34|Q16|Q47,Q149|Q179|Q145|Q115|Q206|Q153|Q201|Q159|Q176|Q191|Q121|Q169|Q174|Q143|Q136|Q137|Q155|Q133|Q211|Q126|Q202|Q164|Q204|Q177|Q118|Q129|Q163|Q116|Q207|Q198|Q170|Q182|Q162|Q173|Q195|Q189|Q151|Q156|Q150|Q134|Q125|Q180|Q175|Q120|Q212|Q142|Q197|Q196|Q203|Q172|Q158|Q152|Q205|Q167|Q117|Q187|Q194|Q119|Q190|Q144|Q160|Q127|Q139|Q132,Q266|Q280|Q275|Q290|Q291|Q300|Q306|Q294,,,,,
1612,R_3NJq8AhyWObVDBC,All True,3,2,2,"BBC news, the Telegraph",35,76,82,38,75,66,86,75,34,35,52,76,37,72,72,74,37,77,29,40,69,30,72,34,67,29,77,42,69,6,66,68,67,27,70,77,78,78,69,78,34,64,82,21,24,44,30,78,24,13,30,78,27,25,73,33,61,76,17,80,30,16,79,76,34,75,37,35,30,56,23,76,60,67,39,74,75,75,10,82,80,61,3,2,4,5,2,2,2,3,3,2,4,2,Democrat,,18,Male,,e79a7687b2c6b5756fb9,,,,,Q398|Q348|Q401|Q383|Q362|Q376|Q349|Q331|Q366|Q368|Q392|Q384|Q387|Q370|Q314|Q315|Q386|Q319|Q391|Q361|Q338|Q353|Q347|Q329|Q351|Q369|Q411|Q410|Q372|Q345|Q388|Q327|Q344|Q373|Q352|Q335|Q395|Q317|Q364|Q339|Q328|Q379|Q356|Q399|Q390|Q375|Q396|Q336|Q360|Q316|Q367|Q318|Q412|Q340|Q382|Q355|Q365|Q334|Q403|Q385|Q346|Q333|Q325|Q358|Q408|Q371|Q374|Q354|Q359|Q337|Q324|Q332|Q322|Q357|Q389|Q406|Q400|Q402|Q343|Q342,,,,
1102,R_3dDP1IfvkkyyhPh,All True,2,1,1,daily mail,60,14,83,81,96,19,21,77,31,73,26,43,91,39,81,71,60,92,67,65,68,29,92,39,97,93,34,75,68,39,18,77,74,25,31,94,84,100,0,76,90,31,25,29,63,44,11,85,0,62,85,18,0,25,0,82,9,19,76,14,35,30,33,75,64,96,66,66,7,77,37,82,84,100,9,63,20,20,11,90,94,30,4,1,3,2,2,1,1,3,2,1,4,1,Democrat,,18,Female,,9c0cc9a9d674feab6f90,,,,,Q344|Q321|Q343|Q402|Q360|Q406|Q395|Q369|Q316|Q388|Q332|Q378|Q390|Q381|Q411|Q405|Q373|Q362|Q372|Q400|Q333|Q342|Q408|Q407|Q352|Q323|Q338|Q341|Q340|Q351|Q348|Q396|Q326|Q361|Q325|Q365|Q359|Q410|Q397|Q398|Q380|Q379|Q376|Q370|Q363|Q335|Q382|Q394|Q329|Q371|Q358|Q383|Q345|Q399|Q319|Q347|Q354|Q356|Q320|Q317|Q392|Q368|Q389|Q384|Q322|Q409|Q391|Q386|Q377|Q336|Q385|Q413|Q330|Q393|Q327|Q353|Q334|Q403|Q349|Q387,,,,
1034,R_1q8ur4jSK0KuTlI,More Fake,4,3,2,"BBC News, ITV news",29,26,64,75,76,61,35,36,85,30,68,21,77,6,75,12,47,23,75,77,66,35,60,31,31,75,65,20,32,73,12,28,27,28,10,72,32,15,26,16,77,58,22,15,29,23,65,35,42,29,72,73,33,27,62,22,28,21,68,31,63,21,28,16,19,26,21,38,71,80,77,64,59,14,79,83,84,78,78,11,21,24,4,4,4,4,2,2,2,2,3,2,3,4,Democrat,,18,Female,,224fe94908a8d824c0fb,,Q52|Q41|Q60|Q25|Q57|Q35|Q59|Q21,Q202|Q188|Q166|Q124|Q175|Q172|Q129|Q168|Q179|Q177|Q167|Q139|Q198|Q209|Q154|Q144|Q136|Q203|Q149|Q205|Q150|Q163|Q133|Q182|Q187|Q119|Q130|Q128|Q174|Q151|Q159|Q127|Q213|Q162|Q170|Q141|Q114|Q164|Q185|Q152|Q190|Q131|Q145|Q211|Q196|Q125|Q181|Q184|Q208|Q121|Q120|Q191|Q165|Q123|Q116|Q201|Q176|Q132|Q135|Q197|Q155|Q153|Q122|Q186,Q297|Q273|Q265|Q289|Q310|Q299|Q298|Q295,,,,,
1233,R_1M52zQS1VyTwqtU,All True,3,2,1,BBC,20,77,75,66,61,10,59,70,53,84,73,57,71,49,69,77,79,63,68,80,70,24,75,19,70,0,23,62,100,56,65,64,75,68,70,65,76,60,68,34,69,75,72,13,22,74,73,75,72,25,65,40,65,67,82,21,55,8,42,100,48,71,34,79,69,77,16,24,58,76,74,78,48,54,26,17,73,74,71,77,78,18,2,4,4,4,2,1,2,3,1,1,2,1,Other,,18,Male,,4bb5cb59ea9ee9798ed7,,,,,Q388|Q346|Q343|Q386|Q316|Q369|Q314|Q318|Q382|Q338|Q381|Q366|Q332|Q367|Q361|Q319|Q378|Q387|Q350|Q348|Q403|Q394|Q402|Q322|Q375|Q320|Q315|Q357|Q374|Q371|Q383|Q345|Q405|Q384|Q325|Q368|Q331|Q380|Q397|Q391|Q407|Q341|Q328|Q379|Q406|Q323|Q396|Q399|Q365|Q336|Q339|Q360|Q317|Q390|Q404|Q413|Q410|Q370|Q412|Q409|Q340|Q335|Q395|Q342|Q333|Q354|Q355|Q351|Q356|Q398|Q344|Q400|Q377|Q408|Q326|Q329|Q393|Q353|Q372|Q324,,,,
6540,R_3QMqrARpa7sNbNb,More Fake,2,1,4,"BBC news, The Guardian, The Sun, Independent ",30,85,77,96,20,13,22,71,100,74,6,34,0,57,65,92,27,27,26,17,87,63,8,17,10,46,21,77,0,52,56,100,0,94,86,83,0,0,7,5,30,3,0,25,82,0,5,80,60,61,83,20,43,0,62,35,0,62,93,5,43,20,4,0,62,77,5,8,26,57,71,71,61,63,66,63,41,83,23,15,35,75,4,2,4,4,1,2,1,1,4,4,4,5,Republican,,19,Female,,159c11296419d8ef4642,,Q34|Q23|Q30|Q55|Q33|Q42|Q44|Q52,Q195|Q118|Q206|Q159|Q142|Q183|Q135|Q136|Q131|Q171|Q132|Q130|Q163|Q150|Q121|Q174|Q204|Q178|Q128|Q203|Q162|Q151|Q184|Q188|Q167|Q180|Q172|Q145|Q161|Q168|Q156|Q213|Q164|Q193|Q192|Q169|Q147|Q123|Q127|Q126|Q155|Q140|Q208|Q146|Q175|Q143|Q124|Q154|Q157|Q125|Q196|Q202|Q138|Q209|Q191|Q194|Q200|Q173|Q179|Q187|Q207|Q198|Q205|Q152,Q280|Q267|Q293|Q294|Q313|Q268|Q283|Q285,,,,,
735,R_3snqwJ103bWcd0c,All True,2,2,1,BBC news online,32,42,92,33,62,54,62,62,52,63,37,52,35,36,43,60,38,64,63,41,63,59,64,40,24,32,62,49,72,39,41,30,61,41,70,56,38,53,33,62,41,63,62,7,63,39,62,35,60,57,63,31,84,65,55,39,40,5,51,30,49,72,48,71,65,37,36,73,61,41,62,60,65,83,61,63,37,61,58,62,62,41,5,5,5,5,2,3,2,4,5,5,5,5,Other,,19,Prefer not to say,,6f9059ec3d823a8c42dd,,,,,Q358|Q392|Q342|Q333|Q370|Q391|Q360|Q353|Q357|Q376|Q413|Q354|Q404|Q363|Q386|Q325|Q356|Q373|Q355|Q359|Q337|Q314|Q410|Q398|Q317|Q345|Q327|Q330|Q401|Q328|Q322|Q351|Q350|Q377|Q346|Q329|Q396|Q324|Q343|Q390|Q384|Q385|Q318|Q315|Q383|Q409|Q368|Q364|Q334|Q365|Q403|Q352|Q374|Q367|Q348|Q412|Q406|Q344|Q393|Q326|Q375|Q316|Q388|Q336|Q400|Q394|Q340|Q395|Q408|Q366|Q380|Q397|Q378|Q332|Q341|Q405|Q335|Q379|Q331|Q320,,,,
1391,R_1ff6cVvpKRGMfq2,More Fake,4,1,2,"BBC,sky news,youtube",72,59,90,62,62,82,3,0,6,37,23,12,54,16,5,22,2,0,2,0,90,0,0,51,22,21,0,21,100,56,0,2,0,0,0,1,0,5,7,8,50,1,80,46,72,45,66,3,17,6,3,0,7,5,5,14,8,3,29,97,0,9,0,19,71,50,28,44,62,0,74,8,79,68,41,27,27,27,27,27,27,81,5,3,4,5,1,1,2,3,4,3,3,4,Other,i am not sure,18,Female,,7269aa44cf770b89210e,,Q48|Q49|Q44|Q38|Q63|Q35|Q61|Q26,Q130|Q159|Q144|Q122|Q161|Q167|Q153|Q205|Q204|Q195|Q190|Q192|Q142|Q150|Q208|Q134|Q188|Q191|Q207|Q162|Q149|Q194|Q182|Q128|Q123|Q203|Q210|Q125|Q185|Q129|Q181|Q141|Q148|Q154|Q164|Q117|Q126|Q136|Q131|Q175|Q169|Q173|Q189|Q171|Q202|Q201|Q158|Q187|Q198|Q139|Q133|Q179|Q127|Q212|Q163|Q168|Q132|Q183|Q211|Q116|Q160|Q170|Q157|Q138,Q275|Q267|Q284|Q297|Q310|Q286|Q298|Q294,,,,,
1043,R_tQZaEN1rW69mGrv,All True,2,2,1,BBC,40,90,100,20,88,82,79,81,83,90,20,100,72,77,71,75,100,80,81,74,100,30,100,75,84,14,78,90,61,90,30,89,76,83,90,80,90,80,60,63,100,83,19,100,80,15,21,90,30,15,100,20,70,20,89,85,87,20,100,20,75,69,29,91,20,57,30,27,84,93,80,69,74,7,24,81,100,30,82,83,40,50,3,2,1,4,1,2,1,1,5,4,4,4,Democrat,,18,Male,,35fcf6446282269be5d6,,,,,Q366|Q324|Q398|Q323|Q397|Q378|Q402|Q409|Q379|Q387|Q383|Q357|Q389|Q390|Q335|Q345|Q375|Q408|Q413|Q377|Q371|Q404|Q365|Q341|Q327|Q343|Q399|Q361|Q381|Q380|Q392|Q406|Q401|Q349|Q353|Q370|Q395|Q331|Q362|Q333|Q319|Q385|Q396|Q318|Q367|Q314|Q316|Q400|Q340|Q412|Q322|Q328|Q373|Q317|Q332|Q337|Q355|Q325|Q344|Q354|Q346|Q410|Q411|Q339|Q351|Q360|Q315|Q405|Q364|Q358|Q391|Q407|Q350|Q329|Q330|Q348|Q359|Q352|Q321|Q393,,,,
561,R_1hKKTBWbZvPg2pW,More Fake,2,1,2,newspapers and journal articles,,31,34,80,78,73,17,38,30,54,62,66,61,68,64,63,58,64,69,67,67,52,61,61,65,64,61,74,68,61,62,65,57,50,60,32,52,50,50,64,50,37,50,63,38,50,52,66,52,45,65,62,56,50,60,47,50,62,54,50,67,50,56,41,66,69,72,52,69,41,69,72,77,57,57,57,57,57,57,57,57,13,5,3,3,4,4,2,3,2,4,3,3,3,Other,,18,Female,,463045cf9fff046fd227,,Q17|Q30|Q24|Q55|Q47|Q21|Q39|Q52,Q194|Q172|Q134|Q122|Q144|Q158|Q118|Q206|Q204|Q203|Q123|Q116|Q129|Q187|Q115|Q145|Q209|Q179|Q166|Q177|Q181|Q161|Q169|Q163|Q188|Q133|Q114|Q178|Q197|Q157|Q151|Q150|Q156|Q199|Q138|Q191|Q126|Q142|Q120|Q141|Q208|Q192|Q200|Q152|Q195|Q159|Q139|Q124|Q131|Q185|Q164|Q147|Q148|Q128|Q212|Q143|Q184|Q205|Q132|Q154|Q174|Q149|Q207|Q160,Q291|Q300|Q310|Q304|Q311|Q290|Q296|Q274,,,,,
1387,R_3iQ0WsDt67mcIYc,All True,3,2,1,BBC News ,40,63,79,24,73,35,46,25,61,73,73,84,68,27,24,73,62,74,29,70,35,27,90,26,34,81,18,62,72,32,35,21,69,34,69,86,29,29,63,72,6,61,25,68,27,71,14,67,28,29,68,61,12,39,20,29,82,39,27,69,34,60,71,30,62,23,17,75,65,19,62,34,63,64,78,71,69,83,14,92,37,46,4,4,4,5,1,1,1,3,4,4,2,3,Other,Labour ,18,Female,,b4477e352c81e37ad252,,,,,Q335|Q347|Q371|Q319|Q340|Q315|Q356|Q378|Q338|Q411|Q326|Q403|Q348|Q387|Q401|Q314|Q334|Q376|Q342|Q332|Q399|Q395|Q396|Q410|Q394|Q377|Q412|Q389|Q388|Q369|Q321|Q379|Q360|Q370|Q392|Q328|Q344|Q316|Q325|Q381|Q351|Q322|Q363|Q397|Q327|Q352|Q366|Q391|Q409|Q333|Q406|Q355|Q400|Q404|Q390|Q341|Q367|Q365|Q362|Q357|Q354|Q374|Q358|Q345|Q383|Q343|Q346|Q323|Q375|Q318|Q329|Q385|Q364|Q382|Q339|Q384|Q317|Q368|Q331|Q408,,,,
